Flight,Destination,Links,dep_sch_time,dep_act_time,arr_sch_time,arr_act_time,flight_name2,dest_name2
,,,,,,,,
MS 62,LXR,https://www.flightstats.com/v2/flight-tracker/MS/62?year=2021&month=9&date=16&flightId=1070752405,06:00 EET,06:00 EET,07:00 EET,07:02 EET,EgyptAir,Destination
,,,,,,,,
A3 1311,Luxor,https://www.flightstats.com/v2/flight-tracker/A3/1311?year=2021&month=9&date=16&flightId=1070752405,06:00 EET,06:00 EET,07:00 EET,07:02 EET,Aegean Airlines / Operated by EgyptAir 62,LXR
,,,,,,,,
EY 4915,LXR,https://www.flightstats.com/v2/flight-tracker/EY/4915?year=2021&month=9&date=16&flightId=1070752405,06:00 EET,06:00 EET,07:00 EET,07:02 EET,Etihad Airways / Operated by EgyptAir 62,Luxor
,,,,,,,,
LH 7188,Luxor,https://www.flightstats.com/v2/flight-tracker/LH/7188?year=2021&month=9&date=16&flightId=1070752405,06:00 EET,06:00 EET,07:00 EET,07:02 EET,Lufthansa / Operated by EgyptAir 62,LXR
,,,,,,,,
MSC 8024,LXR,https://www.flightstats.com/v2/flight-tracker/MSC/8024?year=2021&month=9&date=16&flightId=1070752405,06:00 EET,06:00 EET,07:00 EET,07:02 EET,Air Cairo / Operated by EgyptAir 62,Luxor
,,,,,,,,
MS 5091,Luxor,https://www.flightstats.com/v2/flight-tracker/MS/5091?year=2021&month=9&date=16&flightId=1070752436,06:00 EET,-- ,08:20 EDT,-- ,EgyptAir,LXR
,,,,,,,,
LH 587,LXR,https://www.flightstats.com/v2/flight-tracker/LH/587?year=2021&month=9&date=16&flightId=1070750203,06:05 EET,05:53 EET,10:00 CEST,09:45 CEST,Lufthansa,Luxor
,,,,,,,,
AC 9003,Luxor,https://www.flightstats.com/v2/flight-tracker/AC/9003?year=2021&month=9&date=16&flightId=1070750203,06:05 EET,05:53 EET,10:00 CEST,09:45 CEST,Air Canada / Operated by Lufthansa 587,LXR
,,,,,,,,
MS 9010,LXR,https://www.flightstats.com/v2/flight-tracker/MS/9010?year=2021&month=9&date=16&flightId=1070750203,06:05 EET,05:53 EET,10:00 CEST,09:45 CEST,EgyptAir / Operated by Lufthansa 587,Luxor
,,,,,,,,
MS 82,Luxor,https://www.flightstats.com/v2/flight-tracker/MS/82?year=2021&month=9&date=16&flightId=1070752412,06:25 EET,06:30 EET,07:45 EET,07:44 EET,EgyptAir,LXR
,,,,,,,,
EY 4968,JFK,https://www.flightstats.com/v2/flight-tracker/EY/4968?year=2021&month=9&date=16&flightId=1070752412,06:25 EET,06:30 EET,07:45 EET,07:44 EET,Etihad Airways / Operated by EgyptAir 82,Luxor
,,,,,,,,
MSC 8034,New York,https://www.flightstats.com/v2/flight-tracker/MSC/8034?year=2021&month=9&date=16&flightId=1070752412,06:25 EET,06:30 EET,07:45 EET,07:44 EET,Air Cairo / Operated by EgyptAir 82,JFK
,,,,,,,,
